epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.04,2.19452,3.47822,1.7169,0.05827,0.07221,0.01866,0.00705,3.16051,26.1369,3.26127,0.0702239,0.00330846,0.00330846
2,214.477,1.87678,2.06809,1.51518,0.10897,0.1745,0.0475,0.01776,2.45607,12.064,2.01029,0.0397855,0.00620343,0.00620343
3,315.097,1.75654,1.69835,1.43934,0.37919,0.19095,0.16851,0.06476,2.68853,4.97043,2.347,0.00890716,0.00865841,0.00865841
4,414.942,1.64852,1.46994,1.35351,0.54369,0.19157,0.19646,0.08563,2.39931,5.16248,1.99715,0.00802,0.00802,0.00802
5,513.899,1.58597,1.28526,1.32401,0.3935,0.1911,0.18281,0.07846,2.52239,3.46106,2.13604,0.00736,0.00736,0.00736
6,615.317,1.54335,1.25728,1.3535,0.44058,0.20536,0.1975,0.08096,2.60765,3.44639,2.22386,0.0067,0.0067,0.0067
7,712.804,1.52883,1.15284,1.33634,0.38135,0.24796,0.33831,0.16549,2.48763,5.20572,2.04586,0.00604,0.00604,0.00604
8,811.218,1.47074,1.04795,1.29859,0.47658,0.20833,0.22852,0.10271,2.45658,3.85887,2.03689,0.00538,0.00538,0.00538
9,909.264,1.43214,0.98872,1.28097,0.43976,0.22133,0.22774,0.09789,2.47462,3.38812,2.0821,0.00472,0.00472,0.00472
10,1007.39,1.39362,0.87989,1.25381,0.27724,0.11811,0.09668,0.03905,3.03716,4.08323,2.39809,0.00406,0.00406,0.00406
11,1105.92,1.37716,0.85477,1.2443,0.34434,0.15943,0.15307,0.0671,2.58206,3.81343,2.10451,0.0034,0.0034,0.0034
12,1204.15,1.30706,0.75216,1.2068,0.30519,0.15899,0.13312,0.05712,2.71649,3.90093,2.19066,0.00274,0.00274,0.00274
13,1302.3,1.27943,0.72809,1.18448,0.54602,0.21779,0.26744,0.12054,2.39681,3.8163,1.9871,0.00208,0.00208,0.00208
14,1400.34,1.24112,0.67745,1.16534,0.65412,0.18656,0.27615,0.12487,2.45281,4.10349,1.97477,0.00142,0.00142,0.00142
15,1498.09,1.19657,0.63293,1.14559,0.7153,0.14991,0.25474,0.11915,2.41335,4.50656,1.95246,0.00076,0.00076,0.00076
